Codigo;Acao;Tipo;Qtde. Teorica;Part. (%);
TGMA3;TEGMA;ON      NM;32.001.079;0,333;
TEND3;TENDA;ON      NM;120.609.176;0,881;
TUPY3;TUPY;ON      NM;143.716.238;0,770;
UNIP6;UNIPAR;PNB;50.800.579;0,866;
USIM5;USIMINAS;PNA     N1;515.193.199;0,625;
VLID3;VALID;ON      NM;76.026.408;0,566;
VAMO3;VAMOS;ON      NM;485.166.826;0,588;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,986;
VVEO3;VIVEO;ON      NM;178.485.735;0,063;
VULC3;VULCABRAS;ON      NM;94.135.247;0,594;
PORT3;WILSON SONS;ON      NM;185.687.654;0,957;
YDUQ3;YDUQS PART;ON      NM;260.249.057;1,279;
